Feature1,Feature2,Correlation,Abs_Correlation
cyr,dummy,0.7623200941096235,0.7623200941096235
tpeakbps,thaldur,0.7510406864726815,0.7510406864726815
cyr,tpeakbps,0.750977662754095,0.750977662754095
cyr,tpeakbpd,0.7445484938772238,0.7445484938772238
cyr,thalach,0.7432460266081297,0.7432460266081297
cyr,thalrest,0.7401459892495404,0.7401459892495404
years,cigs,0.7210123552868418,0.7210123552868418
thaldur,ekgyr,0.7162992407898398,0.7162992407898398
relrest,painloc,0.7151511313642887,0.7151511313642887
ekgyr,cp,0.6801058506488151,0.6801058506488151
tpeakbpd,thaldur,0.6784125841582386,0.6784125841582386
trestbpd,thaldur,0.6718531417484231,0.6718531417484231
thalrest,thaldur,0.6680391730103822,0.6680391730103822
slope,oldpeak,0.6581794043547038,0.6581794043547038
trestbpd,cp,0.6505804205940671,0.6505804205940671
painexer,painloc,0.6482509230904692,0.6482509230904692
cday,ekgday,0.6446763341225425,0.6446763341225425
thaldur,trestbps,0.6445772206225533,0.6445772206225533
dummy,thaldur,0.6445772206225533,0.6445772206225533
trestbps,cp,0.6412784983622534,0.6412784983622534
dummy,cp,0.6412784983622534,0.6412784983622534
thaldur,proto,0.6298112165982862,0.6298112165982862
ekgyr,ekgday,0.6206547734667393,0.6206547734667393
tpeakbpd,cp,0.6126651259416668,0.6126651259416668
rldv5,painloc,0.6097672957350168,0.6097672957350168
ekgyr,ekgmo,0.6039994355831325,0.6039994355831325
tpeakbps,cp,0.5987154160380688,0.5987154160380688
cyr,thaldur,0.5941546049680058,0.5941546049680058
cyr,cday,0.5891886927637776,0.5891886927637776
trestbpd,ekgday,0.588392213811583,0.588392213811583
cp,painexer,0.5857088851829559,0.5857088851829559
thalrest,cp,0.5823082560001522,0.5823082560001522
cp,relrest,0.582198989484195,0.582198989484195
cyr,sex,0.5812431244025781,0.5812431244025781
tpeakbps,ekgday,0.5742428011221608,0.5742428011221608
thalach,ekgday,0.5739064562249675,0.5739064562249675
target,cp,0.5737558783214767,0.5737558783214767
cyr,cmo,0.5732629691344678,0.5732629691344678
thalrest,ekgmo,0.5731738582359561,0.5731738582359561
cp,sex,0.5726506352065328,0.5726506352065328
thalach,ekgmo,0.5721879438816337,0.5721879438816337
trestbpd,ekgmo,0.5702804027002358,0.5702804027002358
ekgday,trestbps,0.5701566052350093,0.5701566052350093
dummy,ekgday,0.5701566052350093,0.5701566052350093
tpeakbpd,ekgday,0.5613171478058498,0.5613171478058498
thalrest,ekgday,0.5549560677443124,0.5549560677443124
tpeakbps,ekgmo,0.5547909949766382,0.5547909949766382
thalach,cp,0.5525311317922731,0.5525311317922731
cyr,chol,0.5461419876701993,0.5461419876701993
dummy,ekgmo,0.5433614214215456,0.5433614214215456
ekgmo,trestbps,0.5433614214215455,0.5433614214215455
rldv5e,painloc,-0.5349991901355539,0.5349991901355539
tpeakbpd,ekgmo,0.5325275578765091,0.5325275578765091
thal,rldv5e,0.5218203971188764,0.5218203971188764
rldv5,proto,0.5177352557738216,0.5177352557738216
cyr,ekgmo,0.5119065121434491,0.5119065121434491
cyr,ekgday,0.5037122788895344,0.5037122788895344
slope,exang,0.5012353339195501,0.5012353339195501
target,painexer,0.49746630431225675,0.49746630431225675
thalach,chol,0.49604328165182077,0.49604328165182077
target,exang,0.493711663479607,0.493711663479607
cp,painloc,0.48795952358930306,0.48795952358930306
slope,ekgyr,0.48613186059847097,0.48613186059847097
slope,trestbpd,0.48326992265407837,0.48326992265407837
slope,cp,0.483060281483118,0.483060281483118
slope,thaltime,0.48249934566877184,0.48249934566877184
thalrest,chol,0.4824463929656724,0.4824463929656724
trestbpd,chol,0.48230940781907894,0.48230940781907894
rldv5,tpeakbpd,0.4816837825837005,0.4816837825837005
years,smoke,0.4799364420419037,0.4799364420419037
slope,trestbps,0.4796923405760826,0.4796923405760826
slope,dummy,0.4796923405760826,0.4796923405760826
cmo,ekgyr,0.4790097563972453,0.4790097563972453
cday,ekgyr,0.47890079516554585,0.47890079516554585
target,sex,0.47470818868231646,0.47470818868231646
chol,trestbps,0.4670603879926547,0.4670603879926547
dummy,chol,0.4670603879926547,0.4670603879926547
ekgyr,chol,0.46671215644445757,0.46671215644445757
rldv5e,famhist,0.4642291511702757,0.4642291511702757
cmo,thalach,0.46222101669216253,0.46222101669216253
tpeakbps,chol,0.46176870858422825,0.46176870858422825
cmo,thalrest,0.46168671085019125,0.46168671085019125
ekgyr,sex,0.4608088326207716,0.4608088326207716
oldpeak,exang,0.46059173874867443,0.46059173874867443
target,slope,0.4601424863350502,0.4601424863350502
cmo,trestbpd,0.4589656998337612,0.4589656998337612
target,relrest,0.4562093566604268,0.4562093566604268
thaldur,ekgmo,0.4559799534832357,0.4559799534832357
exang,cp,0.454242925026053,0.454242925026053
cyr,painloc,0.4535841866572797,0.4535841866572797
thaldur,ekgday,0.45249184304738493,0.45249184304738493
cday,tpeakbps,0.4524281844717589,0.4524281844717589
cday,thalach,0.4513582201674004,0.4513582201674004
cday,tpeakbpd,0.4470500934363144,0.4470500934363144
cmo,cp,0.4459270256309037,0.4459270256309037
cday,cp,0.4451060174604018,0.4451060174604018
proto,painloc,0.4446701293945682,0.4446701293945682
cday,trestbpd,0.4431354134714811,0.4431354134714811
famhist,years,0.440372621753248,0.440372621753248
tpeakbpd,chol,0.4384280996831001,0.4384280996831001
cmo,tpeakbps,0.4380196685045527,0.4380196685045527
cmo,dummy,0.43694654655557896,0.43694654655557896
cmo,trestbps,0.43694654655557896,0.43694654655557896
tpeakbps,sex,0.43630467099986725,0.43630467099986725
cday,dummy,0.43592589721018526,0.43592589721018526
cday,trestbps,0.43592589721018526,0.43592589721018526
cday,thalrest,0.4342630994556507,0.4342630994556507
trestbpd,sex,0.4333882090910793,0.4333882090910793
ekgday,cp,0.43037064022154947,0.43037064022154947
trestbps,sex,0.42978132008885384,0.42978132008885384
dummy,sex,0.42978132008885384,0.42978132008885384
rldv5,relrest,0.4297392827247997,0.4297392827247997
tpeakbpd,sex,0.42609284871647,0.42609284871647
cmo,tpeakbpd,0.42396759875000745,0.42396759875000745
slope,tpeakbps,0.42159923504891234,0.42159923504891234
rldv5e,thalach,0.4213775703611683,0.4213775703611683
rldv5,tpeakbps,0.42128383008040843,0.42128383008040843
rldv5,ekgyr,0.4204455869306284,0.4204455869306284
painloc,sex,0.41949453146611226,0.41949453146611226
target,oldpeak,0.41928535989024046,0.41928535989024046
ca,rldv5e,0.41894140110156386,0.41894140110156386
pro,nitr,0.4185734284016134,0.4185734284016134
rldv5e,chol,0.4153372098263881,0.4153372098263881
thaldur,sex,0.4146937483631847,0.4146937483631847
thal,met,0.41326474753151266,0.41326474753151266
oldpeak,thaltime,0.412993972800561,0.412993972800561
ekgmo,cp,0.40731955011143167,0.40731955011143167
slope,tpeakbpd,0.4064121311062407,0.4064121311062407
slope,thalach,0.4035685687887034,0.4035685687887034
tpeakbpd,painloc,0.4035021649779809,0.4035021649779809
relrest,sex,0.4027175196553729,0.4027175196553729
tpeakbpd,proto,0.4005841389721489,0.4005841389721489
rldv5e,relrest,-0.4005735837647481,0.4005735837647481
cigs,smoke,0.397759293627335,0.397759293627335
slope,thalrest,0.39725351884660065,0.39725351884660065
thaldur,cp,0.38952022720013846,0.38952022720013846
cday,thaldur,0.3887855050234702,0.3887855050234702
cday,sex,0.38565079860548823,0.38565079860548823
chol,cp,0.3852421835185576,0.3852421835185576
thaldur,chol,0.3841530852614721,0.3841530852614721
thal,slope,0.3824983430175811,0.3824983430175811
rldv5,thalrest,0.38228699557603163,0.38228699557603163
tpeakbps,proto,0.3806420589361159,0.3806420589361159
rldv5e,slope,0.3798431554204689,0.3798431554204689
cmo,chol,0.37856113384438594,0.37856113384438594
rldv5,thaldur,0.37666890791385915,0.37666890791385915
cyr,slope,0.37374913512198493,0.37374913512198493
rldv5,trestbps,0.3708289288975559,0.3708289288975559
rldv5,dummy,0.3708289288975559,0.3708289288975559
painexer,sex,0.3699876830646544,0.3699876830646544
rldv5e,painexer,-0.36923895831869114,0.36923895831869114
thalach,sex,0.3681204229588713,0.3681204229588713
exang,painexer,0.36477310715854006,0.36477310715854006
cmo,thaldur,0.3645668020008526,0.3645668020008526
target,cyr,0.3643794421466927,0.3643794421466927
rldv5e,trestbpd,0.3626110784368431,0.3626110784368431
ekgmo,chol,0.362543433187434,0.362543433187434
rldv5,painexer,0.3581650596927951,0.3581650596927951
rldv5,trestbpd,0.35795316712255704,0.35795316712255704
exang,trestbps,0.3575829616854422,0.3575829616854422
exang,dummy,0.3575829616854422,0.3575829616854422
oldpeak,cp,0.3572189756465635,0.3572189756465635
thalrest,sex,0.357006169206719,0.357006169206719
oldpeak,dummy,0.35585354686672044,0.35585354686672044
oldpeak,trestbps,0.35585354686672044,0.35585354686672044
thal,trestbpd,0.3533448803483885,0.3533448803483885
thal,trestbps,0.34958297442105735,0.34958297442105735
thal,dummy,0.34958297442105735,0.34958297442105735
thalrest,proto,0.34879309614479453,0.34879309614479453
famhist,cigs,0.3467168012256425,0.3467168012256425
ekgyr,painloc,0.3449636224040343,0.3449636224040343
exang,trestbpd,0.34441997175955597,0.34441997175955597
cyr,rldv5,0.34149247125194226,0.34149247125194226
ekgday,ekgmo,0.3410466568130836,0.3410466568130836
rldv5e,trestbps,0.33974084060226506,0.33974084060226506
rldv5e,dummy,0.33974084060226506,0.33974084060226506
rldv5e,restecg,0.3396039966261757,0.3396039966261757
cyr,htn,0.33734608712098246,0.33734608712098246
cyr,relrest,0.3365374401380523,0.3365374401380523
cday,chol,0.33492843969480895,0.33492843969480895
exang,ekgyr,0.3347402533856855,0.3347402533856855
thal,ekgyr,0.33331776779819233,0.33331776779819233
ekgday,sex,0.33233228170585294,0.33233228170585294
oldpeak,ekgyr,0.3318475653017839,0.3318475653017839
oldpeak,trestbpd,0.33163312027002617,0.33163312027002617
thal,cp,0.33115479721201435,0.33115479721201435
cmo,sex,0.33031346782651794,0.33031346782651794
thal,rldv5,-0.32982640958344867,0.32982640958344867
thal,thalach,0.32953120221620535,0.32953120221620535
exang,relrest,0.3294333648396028,0.3294333648396028
proto,famhist,-0.3276726993585265,0.3276726993585265
rldv5e,tpeakbps,0.324961805033206,0.324961805033206
exang,tpeakbpd,0.323616356552642,0.323616356552642
rldv5e,rldv5,-0.32255068377614815,0.32255068377614815
thalach,proto,0.32195609495228494,0.32195609495228494
proto,years,-0.32142070395115174,0.32142070395115174
rldv5,thalach,0.3212859399891935,0.3212859399891935
rldv5e,ekgyr,0.32112607221842937,0.32112607221842937
thal,famhist,0.32109207856758065,0.32109207856758065
restecg,famhist,0.3202801649423662,0.3202801649423662
thal,ca,0.3201219050289162,0.3201219050289162
proto,ekgyr,0.31880370144366155,0.31880370144366155
dummy,htn,0.3176519871752951,0.3176519871752951
htn,trestbps,0.3176519871752951,0.3176519871752951
rldv5e,thalrest,0.31446047869527943,0.31446047869527943
target,painloc,0.31377264622665607,0.31377264622665607
target,ekgyr,0.3126468924532907,0.3126468924532907
target,dummy,0.3107068252098418,0.3107068252098418
target,trestbps,0.3107068252098418,0.3107068252098418
slope,ekgday,0.30925377678755583,0.30925377678755583
tpeakbps,painloc,0.30869008750989296,0.30869008750989296
cyr,painexer,0.3067153228431216,0.3067153228431216
thaltime,ekgyr,0.30645679198152803,0.30645679198152803
trestbpd,thaltime,0.306240915193189,0.306240915193189
trestbpd,htn,0.3045446033564429,0.3045446033564429
nitr,cp,0.303829051625199,0.303829051625199
thal,tpeakbps,0.3036799550904082,0.3036799550904082
tpeakbps,thaltime,0.3034186223947697,0.3034186223947697
exang,sex,0.30252187886355425,0.30252187886355425
cday,cmo,0.30224378681021513,0.30224378681021513
thalach,thaltime,0.30140658173960305,0.30140658173960305
trestbps,painloc,0.29887554282351514,0.29887554282351514
dummy,painloc,0.29887554282351514,0.29887554282351514
cyr,thal,0.2963565907311239,0.2963565907311239
famhist,chol,0.29528565236389775,0.29528565236389775
chol,htn,0.2942069187630097,0.2942069187630097
proto,cigs,-0.29369603567338864,0.29369603567338864
smoke,relrest,0.29287982985783884,0.29287982985783884
trestbpd,proto,0.2924388485799515,0.2924388485799515
cigs,sex,0.29214635902357017,0.29214635902357017
cday,ekgmo,0.2918480730521743,0.2918480730521743
cday,painloc,0.29165760248829664,0.29165760248829664
famhist,htn,0.29136507257567185,0.29136507257567185
rldv5,sex,0.28887227142934435,0.28887227142934435
cmo,ekgday,0.28788380295607024,0.28788380295607024
oldpeak,tpeakbpd,0.2870060283410396,0.2870060283410396
trestbpd,painloc,0.2866876399281621,0.2866876399281621
target,trestbpd,0.2865294564759173,0.2865294564759173
slope,nitr,0.28617842250181363,0.28617842250181363
ca,painloc,-0.2859517874764883,0.2859517874764883
dummy,thaltime,0.2852669479960826,0.2852669479960826
thaltime,trestbps,0.2852669479960826,0.2852669479960826
thalrest,painloc,0.28394435540480045,0.28394435540480045
rldv5e,cigs,0.2833776971353138,0.2833776971353138
thal,restecg,0.2830259020178181,0.2830259020178181
cyr,proto,0.28259874092097165,0.28259874092097165
rldv5e,oldpeak,0.28242359603593026,0.28242359603593026
tpeakbps,htn,0.2816371031354835,0.2816371031354835
slope,sex,0.2815953246538611,0.2815953246538611
thaltime,thaldur,0.2810076408285335,0.2810076408285335
target,thal,0.2808182803489554,0.2808182803489554
thal,thalrest,0.28060435818074064,0.28060435818074064
slope,ekgmo,0.2805679871580972,0.2805679871580972
years,htn,0.2803192587893296,0.2803192587893296
ekgyr,htn,0.2801519630142707,0.2801519630142707
cyr,exang,0.2784001927915622,0.2784001927915622
oldpeak,tpeakbps,0.2781706780471715,0.2781706780471715
tpeakbpd,thaltime,0.2776876051542934,0.2776876051542934
htn,cp,0.27654049435898653,0.27654049435898653
thaltime,cp,0.27632982358456365,0.27632982358456365
dummy,proto,0.2760728581251878,0.2760728581251878
proto,trestbps,0.2760728581251878,0.2760728581251878
target,nitr,0.2757123848476596,0.2757123848476596
thalach,htn,0.27142711722278706,0.27142711722278706
smoke,painloc,0.2712439726942768,0.2712439726942768
cyr,rldv5e,0.27087252905944365,0.27087252905944365
thal,proto,-0.27056718673235086,0.27056718673235086
thal,ekgmo,0.27034924853805925,0.27034924853805925
rldv5,ekgday,0.26897635453940194,0.26897635453940194
exang,tpeakbps,0.2683908647728471,0.2683908647728471
rldv5,cp,0.2677753707649436,0.2677753707649436
target,met,0.26689463116302714,0.26689463116302714
thalrest,thaltime,0.2661367581086146,0.2661367581086146
target,thaltime,0.2658563905197423,0.2658563905197423
met,painexer,0.2653077255795243,0.2653077255795243
proto,chol,0.26506823020640286,0.26506823020640286
ekgmo,sex,0.2648132595267803,0.2648132595267803
rldv5e,proto,-0.2634511318894569,0.2634511318894569
years,sex,0.26342352571117655,0.26342352571117655
target,tpeakbpd,0.2634143823053424,0.2634143823053424
exang,thalrest,0.26138201716837006,0.26138201716837006
cyr,oldpeak,0.2613056957829359,0.2613056957829359
restecg,chol,0.25987142486450693,0.25987142486450693
rldv5e,years,0.2596385718568931,0.2596385718568931
nitr,ekgyr,0.25903232985046876,0.25903232985046876
exang,ekgday,0.25757635521349787,0.25757635521349787
oldpeak,thalach,0.2573485055629477,0.2573485055629477
thal,painloc,-0.25656971549326685,0.25656971549326685
cyr,restecg,0.2546405556957686,0.2546405556957686
oldpeak,thalrest,0.2542369334685911,0.2542369334685911
ekgday,chol,0.2536094418000429,0.2536094418000429
thalrest,htn,0.25280247259662403,0.25280247259662403
pro,cp,0.250745227055813,0.250745227055813
rldv5e,htn,0.2507076851826608,0.2507076851826608
met,chol,-0.25013192416494356,0.25013192416494356
years,cp,0.2491510562208731,0.2491510562208731
ca,famhist,0.24853452993414812,0.24853452993414812
thal,cigs,0.24750707056360588,0.24750707056360588
tpeakbpd,htn,0.2470213785643999,0.2470213785643999
tpeakbpd,painexer,0.24590370528714098,0.24590370528714098
tpeakbpd,relrest,0.24564736630858744,0.24564736630858744
cigs,cp,0.24546299119695023,0.24546299119695023
nitr,prop,0.24543478955811554,0.24543478955811554
restecg,cp,0.24376114146002595,0.24376114146002595
famhist,painloc,-0.24329070885576104,0.24329070885576104
ekgyr,painexer,0.2429727099936133,0.2429727099936133
cyr,thaltime,0.24279830367882282,0.24279830367882282
target,tpeakbps,0.24173774051497465,0.24173774051497465
rldv5e,ekgmo,0.24167595060663696,0.24167595060663696
ca,restecg,0.2409890974444069,0.2409890974444069
exang,nitr,0.24002051808743902,0.24002051808743902
famhist,cp,0.2398665731455427,0.2398665731455427
exang,thaltime,0.23883200436929483,0.23883200436929483
thaldur,painloc,0.23866166135095077,0.23866166135095077
rldv5e,thaltime,0.23696694444525376,0.23696694444525376
target,smoke,0.23617243851987038,0.23617243851987038
cmo,thal,0.23538458171288792,0.23538458171288792
cyr,famhist,0.23505376874649597,0.23505376874649597
dummy,painexer,0.23471720164830542,0.23471720164830542
trestbps,painexer,0.23471720164830542,0.23471720164830542
thal,tpeakbpd,0.2346836162357824,0.2346836162357824
exang,painloc,0.23406317268820226,0.23406317268820226
dummy,nitr,0.2325633836075093,0.2325633836075093
nitr,trestbps,0.2325633836075093,0.2325633836075093
cmo,painloc,0.2322915923759364,0.2322915923759364
cigs,htn,0.23226867337643445,0.23226867337643445
pro,relrest,0.23197438682769955,0.23197438682769955
met,cp,0.23168163595393101,0.23168163595393101
cyr,years,0.23151368675139095,0.23151368675139095
slope,pro,0.23103249984011276,0.23103249984011276
dummy,met,0.23085693685492745,0.23085693685492745
met,trestbps,0.23085693685492745,0.23085693685492745
target,pro,0.23043879912045867,0.23043879912045867
oldpeak,sex,0.2303800138154144,0.2303800138154144
rldv5e,thaldur,0.23027449121718804,0.23027449121718804
slope,restecg,0.22901310078058373,0.22901310078058373
thal,exang,0.22852722973658265,0.22852722973658265
restecg,years,0.22779221461359694,0.22779221461359694
pro,painexer,0.22766563789117558,0.22766563789117558
smoke,painexer,0.22588270029609012,0.22588270029609012
trestbpd,nitr,0.22562370219606812,0.22562370219606812
ekgyr,relrest,0.2256002108326252,0.2256002108326252
slope,famhist,0.22555899037380453,0.22555899037380453
slope,proto,-0.22531944007033947,0.22531944007033947
met,ekgyr,0.22528291431768097,0.22528291431768097
thal,ekgday,0.22498863339365763,0.22498863339365763
rldv5e,tpeakbpd,0.22443341588650575,0.22443341588650575
smoke,sex,0.22396157598005956,0.22396157598005956
htn,sex,0.2217384791325545,0.2217384791325545
cmo,slope,0.2214378908118533,0.2214378908118533
trestbpd,met,0.22101178076944572,0.22101178076944572
cyr,cigs,0.22099529689259076,0.22099529689259076
proto,restecg,-0.22037830171266515,0.22037830171266515
restecg,trestbps,0.21999504298946204,0.21999504298946204
dummy,restecg,0.21999504298946204,0.21999504298946204
cday,rldv5,0.2190138072120219,0.2190138072120219
trestbpd,restecg,0.21880404911884688,0.21880404911884688
cmo,exang,0.21874244979882704,0.21874244979882704
thal,sex,0.21802026360255872,0.21802026360255872
diuretic,prop,0.216997650556846,0.216997650556846
thal,years,0.21668398900673982,0.21668398900673982
restecg,cigs,0.21598499031043952,0.21598499031043952
cday,proto,0.21538636640276265,0.21538636640276265
ca,slope,0.21519688479464402,0.21519688479464402
proto,ekgmo,0.2145640821072813,0.2145640821072813
tpeakbpd,nitr,0.2142326153914974,0.2142326153914974
years,chol,0.2142303924382313,0.2142303924382313
ekgday,painloc,0.2141701275707413,0.2141701275707413
exang,ekgmo,0.21398285705173742,0.21398285705173742
cday,htn,0.21203081378114721,0.21203081378114721
slope,painexer,0.2115303332622168,0.2115303332622168
rldv5e,ekgday,0.2114696272325134,0.2114696272325134
thal,oldpeak,0.21093365223784477,0.21093365223784477
met,diuretic,0.2106779255377003,0.2106779255377003
target,cmo,0.21005178459219262,0.21005178459219262
thalach,restecg,0.20983664941163113,0.20983664941163113
chol,sex,0.2096693802362135,0.2096693802362135
thal,htn,0.20953306790488108,0.20953306790488108
oldpeak,chol,0.20853540767537132,0.20853540767537132
ca,oldpeak,0.20796493556138643,0.20796493556138643
target,cday,0.20788038962744373,0.20788038962744373
trestbpd,painexer,0.20784771302337085,0.20784771302337085
dummy,relrest,0.20763172531901156,0.20763172531901156
trestbps,relrest,0.20763172531901156,0.20763172531901156
ekgday,htn,0.20716832760329426,0.20716832760329426
pro,ekgyr,0.20583462018107032,0.20583462018107032
cday,relrest,0.2052739809978027,0.2052739809978027
target,thalrest,0.20479890725936092,0.20479890725936092
rldv5,ekgmo,0.20411960851343203,0.20411960851343203
thaltime,ekgday,0.20390219007938773,0.20390219007938773
slope,htn,0.20190658580094256,0.20190658580094256
rldv5,met,-0.20154204248029184,0.20154204248029184
ca,relrest,-0.20133963000738614,0.20133963000738614
met,painloc,0.20132199122205818,0.20132199122205818
proto,ekgday,0.20113267481866237,0.20113267481866237
ca,chol,0.20095116051236575,0.20095116051236575
nitr,relrest,0.198703923037892,0.198703923037892
rldv5,famhist,-0.19702716039162524,0.19702716039162524
ca,rldv5,-0.19649880655107446,0.19649880655107446
tpeakbps,met,0.19646427137839353,0.19646427137839353
rldv5e,cp,0.1960198565271562,0.1960198565271562
met,pro,0.19482237335590896,0.19482237335590896
slope,met,0.19469200924984034,0.19469200924984034
ekgyr,restecg,0.1942088224816362,0.1942088224816362
met,sex,0.19417574314343475,0.19417574314343475
slope,chol,0.19353168362533862,0.19353168362533862
met,relrest,0.19295166631857255,0.19295166631857255
pro,painloc,0.19262268693509849,0.19262268693509849
fbs,years,0.19221266201370416,0.19221266201370416
cyr,nitr,0.19149611452821563,0.19149611452821563
tpeakbps,nitr,0.19119630238091045,0.19119630238091045
diuretic,pro,0.19082380128158835,0.19082380128158835
cmo,htn,0.1908058894848792,0.1908058894848792
tpeakbpd,met,0.18995370678651038,0.18995370678651038
thalrest,restecg,0.18989289039228366,0.18989289039228366
oldpeak,ekgday,0.18928635701464688,0.18928635701464688
rldv5,exang,0.18839166221089562,0.18839166221089562
target,years,0.1880338160945497,0.1880338160945497
rldv5e,smoke,-0.1877489734766051,0.1877489734766051
trestbpd,relrest,0.18742828711605872,0.18742828711605872
cyr,met,0.18740478366535815,0.18740478366535815
nitr,painexer,0.1872732408768312,0.1872732408768312
cday,slope,0.18669512851507938,0.18669512851507938
thalach,famhist,0.1859429652835142,0.1859429652835142
cmo,famhist,0.18586310107338952,0.18586310107338952
exang,thalach,0.1857930954225618,0.1857930954225618
restecg,htn,0.18564740831195436,0.18564740831195436
cmo,rldv5e,0.18559390665667305,0.18559390665667305
smoke,cp,0.18540041198412835,0.18540041198412835
tpeakbps,painexer,0.18432996290196643,0.18432996290196643
cmo,proto,0.1843191272620304,0.1843191272620304
oldpeak,painexer,0.18408622677607792,0.18408622677607792
thaltime,sex,0.18388704106643472,0.18388704106643472
tpeakbps,relrest,0.18085775043735036,0.18085775043735036
cmo,years,0.1801925892516619,0.1801925892516619
cmo,rldv5,0.17968866694408095,0.17968866694408095
cday,painexer,0.17917745654903955,0.17917745654903955
dummy,pro,0.1791341297693705,0.1791341297693705
pro,trestbps,0.1791341297693705,0.1791341297693705
ca,painexer,-0.17882805677355598,0.17882805677355598
nitr,sex,0.17856279756063761,0.17856279756063761
target,htn,0.17690646800068238,0.17690646800068238
restecg,fbs,0.17690172899544793,0.17690172899544793
ekgmo,htn,0.17687267791732356,0.17687267791732356
diuretic,cp,0.17654141267468224,0.17654141267468224
target,cigs,0.17648384080863358,0.17648384080863358
thalach,painloc,0.17629063666469658,0.17629063666469658
oldpeak,nitr,0.17567960408674899,0.17567960408674899
dummy,diuretic,0.1756731207754134,0.1756731207754134
diuretic,trestbps,0.1756731207754134,0.1756731207754134
rldv5,oldpeak,0.17518696862891847,0.17518696862891847
nitr,ekgday,0.17394628650050234,0.17394628650050234
ca,thaltime,0.1735239844455973,0.1735239844455973
trestbpd,pro,0.17283182814717368,0.17283182814717368
target,ekgday,0.1725563496004639,0.1725563496004639
target,ekgmo,0.17125494789388698,0.17125494789388698
cmo,relrest,0.17096864327521846,0.17096864327521846
fbs,cigs,0.17090986237011696,0.17090986237011696
diuretic,nitr,0.17085399836634715,0.17085399836634715
ca,years,0.17075392836476816,0.17075392836476816
slope,thaldur,0.17061947738297426,0.17061947738297426
slope,diuretic,0.17036044790890875,0.17036044790890875
oldpeak,restecg,0.17026885570136832,0.17026885570136832
tpeakbps,restecg,0.1700170163449786,0.1700170163449786
thalrest,nitr,0.16888549899609392,0.16888549899609392
famhist,fbs,0.1675586371451798,0.1675586371451798
pro,sex,0.16682510687858276,0.16682510687858276
oldpeak,ekgmo,0.16607729078100858,0.16607729078100858
proto,smoke,-0.16589530116008064,0.16589530116008064
thal,thaldur,0.1653956757653951,0.1653956757653951
oldpeak,famhist,0.16537430597823208,0.16537430597823208
cday,thaltime,0.1636124167101825,0.1636124167101825
fbs,chol,0.16327703662394302,0.16327703662394302
nitr,smoke,0.1622810940422376,0.1622810940422376
trestbpd,diuretic,0.16186179280434354,0.16186179280434354
oldpeak,htn,0.1614196974602653,0.1614196974602653
prop,cp,0.1612843308155719,0.1612843308155719
thalrest,painexer,0.16077469285110546,0.16077469285110546
cyr,fbs,0.16073610837573832,0.16073610837573832
target,restecg,0.16046249993523923,0.16046249993523923
dig,smoke,0.16023485547515623,0.16023485547515623
restecg,sex,0.16000439595074736,0.16000439595074736
cday,thal,0.15984588153444437,0.15984588153444437
fbs,sex,0.1596129240186877,0.1596129240186877
ekgday,relrest,0.159592656547243,0.159592656547243
ca,dummy,0.1591531340689148,0.1591531340689148
ca,trestbps,0.1591531340689148,0.1591531340689148
target,ca,0.1590430271070041,0.1590430271070041
target,fbs,0.15857705845182704,0.15857705845182704
ca,trestbpd,0.15840976780898666,0.15840976780898666
slope,cigs,0.15821586854521688,0.15821586854521688
thal,diuretic,0.15774618226982695,0.15774618226982695
